,price,loc,size
2015-08-19 14:45:00,2050,nby,1200.0
2015-08-19 14:45:00,2250,nby,1400.0
2015-08-19 14:42:00,2295,nby,800.0
2015-08-19 14:36:00,2475,nby,
2015-08-19 14:36:00,3550,nby,2887.0
2015-08-19 14:30:00,2267,nby,1149.0
2015-08-19 14:23:00,3150,nby,750.0
2015-08-19 14:23:00,2200,nby,
2015-08-19 14:23:00,3650,nby,
2015-08-19 14:23:00,2363,nby,970.0
2015-08-19 14:22:00,1800,nby,
2015-08-19 14:22:00,1950,nby,660.0
2015-08-19 14:21:00,4500,nby,
2015-08-19 14:21:00,2400,nby,
2015-08-19 14:21:00,1587,nby,639.0
2015-08-19 14:19:00,1680,nby,559.0
2015-08-19 14:10:00,2695,nby,
2015-08-19 14:09:00,7250,nby,1375.0
2015-08-19 14:09:00,3595,nby,1396.0
2015-08-19 14:09:00,3295,nby,1100.0
2015-08-19 14:08:00,1995,nby,872.0
2015-08-19 14:08:00,3895,nby,2258.0
2015-08-19 14:04:00,2000,nby,600.0
2015-08-19 14:00:00,2350,nby,1851.0
2015-08-19 13:56:00,1550,nby,
2015-08-19 13:53:00,5800,nby,
2015-08-19 13:52:00,1695,nby,
2015-08-20 09:10:00,3400,sfc,
2015-08-20 09:09:00,5950,sfc,1500.0
2015-08-20 09:06:00,5200,sfc,1100.0
2015-08-20 09:05:00,5950,sfc,1500.0
2015-08-20 09:04:00,4995,sfc,
2015-08-20 09:03:00,5500,sfc,2072.0
2015-08-20 09:03:00,3795,sfc,640.0
2015-08-20 09:02:00,5950,sfc,1500.0
2015-08-20 08:53:00,4895,sfc,726.0
2015-08-20 08:47:00,4295,sfc,
2015-08-20 08:46:00,3250,sfc,1050.0
2015-08-20 08:45:00,3700,sfc,
2015-08-20 08:39:00,4499,sfc,
2015-08-20 08:38:00,7000,sfc,1150.0
2015-08-20 08:38:00,7200,sfc,1099.0
2015-08-20 08:38:00,4800,sfc,651.0
2015-08-20 08:38:00,5000,sfc,
2015-08-20 08:37:00,12500,sfc,1845.0
2015-08-20 08:37:00,11000,sfc,1716.0
2015-08-20 08:37:00,8700,sfc,1514.0
2015-08-20 08:37:00,4700,sfc,642.0
2015-08-20 08:35:00,1700,sfc,
2015-08-20 08:35:00,3200,sfc,
2015-08-20 08:34:00,3495,sfc,
